SUBJECT,TRIAL,TARGET_POSITION,TARG_OTH,TARGET_WORD,REG_IRREG,PATTERN,TARG_OTH,keytrial,CORR_WRONG,LOG_FREQ,USER_RESP
subj12,1,word1,OTH,penguin,REG,SW,OTH,subj12_1,CORRECT,0.7,"penguin,illness,husband,picture,dresser,no_response,no_response,no_response,no_response"
subj13,1,word1,OTH,penguin,REG,SW,OTH,subj13_1,CORRECT,0.7,"penguin,illness,chapter,husband,zebra,dresser,no_response,no_response,no_response"
subj14,1,word1,OTH,penguin,REG,SW,OTH,subj14_1,CORRECT,0.7,"penguin,illness,husband,picture,chapter,zebra,coffee,dresser,no_response"
subj16,1,word1,OTH,penguin,REG,SW,OTH,subj16_1,CORRECT,0.7,"penguin,zebra,dresser,coffee,no_response,no_response,no_response,no_response,no_response"
subj19,1,word1,OTH,penguin,REG,SW,OTH,subj19_1,CORRECT,0.7,"penguin,illness,zebra,coffee,nickle,dresser,husband,no_response,no_response"
subj2,1,word1,OTH,penguin,REG,SW,OTH,subj2_1,CORRECT,0.7,"penguin,illness,husband,nickel,chapter,zebra,coffee,dresser,no_response"
subj23,1,word1,OTH,penguin,REG,SW,OTH,subj23_1,CORRECT,0.7,"penguin,picture,illness,zebra,coffee,no_response,no_response,no_response,no_response"
subj26,1,word1,OTH,penguin,REG,SW,OTH,subj26_1,CORRECT,0.7,"penguin,husband,picture,nickle,zebra,coffee,dresser,no_response,no_response"
subj3,1,word1,OTH,penguin,REG,SW,OTH,subj3_1,CORRECT,0.7,"penguin,dresser,husband,pillow,zebra,no_response,no_response,no_response,no_response"
subj30,1,word1,OTH,penguin,REG,SW,OTH,subj30_1,CORRECT,0.7,"penguin,zebra,coffee,dresser,no_response,no_response,no_response,no_response,no_response"
subj32,1,word1,OTH,penguin,REG,SW,OTH,subj32_1,CORRECT,0.7,"zebra,coffee,dresser,husband,penguin,no_response,no_response,no_response,no_response"
subj34,1,word1,OTH,penguin,REG,SW,OTH,subj34_1,CORRECT,0.7,"dresser,coffee,husband,penguin,no_response,no_response,no_response,no_response,no_response"
subj35,1,word1,OTH,penguin,REG,SW,OTH,subj35_1,CORRECT,0.7,"penguin,zebra,coffee,dresser,no_response,no_response,no_response,no_response,no_response"
subj37,1,word1,OTH,penguin,REG,SW,OTH,subj37_1,CORRECT,0.7,"coffee,zebra,nickel,husband,penguin,dresser,no_response,no_response,no_response"
subj38,1,word1,OTH,penguin,REG,SW,OTH,subj38_1,CORRECT,0.7,"zebra,coffee,dresser,penguin,no_response,no_response,no_response,no_response,no_response"
subj39,1,word1,OTH,penguin,REG,SW,OTH,subj39_1,CORRECT,0.7,"zebra,coffee,husband,illness,penguin,no_response,no_response,no_response,no_response"
subj40,1,word1,OTH,penguin,REG,SW,OTH,subj40_1,CORRECT,0.7,"penguin,dresser,coffee,desert,no_response,no_response,no_response,no_response,no_response"
subj42,1,word1,OTH,penguin,REG,SW,OTH,subj42_1,CORRECT,0.7,"penguin,illness,husband,nickle,chapter,no_response,no_response,no_response,no_response"
subj44,1,word1,OTH,penguin,REG,SW,OTH,subj44_1,CORRECT,0.7,"penguin,dresser,husband,coffee,no_response,no_response,no_response,no_response,no_response"
subj46,1,word1,OTH,penguin,REG,SW,OTH,subj46_1,CORRECT,0.7,"penguin,illness,picture,coffee,dresser,nickel,chapter,zebra,husband"
subj47,1,word1,OTH,penguin,REG,SW,OTH,subj47_1,CORRECT,0.7,"penguin,dresser,illness,no_response,no_response,no_response,no_response,no_response,no_response"
subj50,1,word1,OTH,penguin,REG,SW,OTH,subj50_1,CORRECT,0.7,"nickel,coffee,zebra,dresser,album,penguin,illness,husband,picture"
subj51,1,word1,OTH,penguin,REG,SW,OTH,subj51_1,CORRECT,0.7,"penguin,illness,picture,dresser,husband,zebra,coffee,no_response,no_response"
subj52,1,word1,OTH,penguin,REG,SW,OTH,subj52_1,CORRECT,0.7,"penguin,illness,hunger,chapter,dresser,no_response,no_response,no_response,no_response"
subj53,1,word1,OTH,penguin,REG,SW,OTH,subj53_1,CORRECT,0.7,"zebra,coffee,dresser,penguin,husband,no_response,no_response,no_response,no_response"
subj54,1,word1,OTH,penguin,REG,SW,OTH,subj54_1,CORRECT,0.7,"zebra,penguin,dresser,coffee,no_response,no_response,no_response,no_response,no_response"
subj6,1,word1,OTH,penguin,REG,SW,OTH,subj6_1,CORRECT,0.7,"penguin,illness,husband,picture,nickel,chapter,zebra,dresser,no_response"
subj60,1,word1,OTH,penguin,REG,SW,OTH,subj60_1,CORRECT,0.7,"penguin,illness,zebra,coffee,no_response,no_response,no_response,no_response,no_response"
subj8,1,word1,OTH,penguin,REG,SW,OTH,subj8_1,CORRECT,0.7,"penguin,picture,coffee,dresser,zebra,no_response,no_response,no_response,no_response"
subj10,1,word2,OTH,illness,REG,SW,OTH,subj10_1,CORRECT,1.6,"zebra,coffee,illness,dresser,husband,no_response,no_response,no_response,no_response"
subj12,1,word2,OTH,illness,REG,SW,OTH,subj12_1,CORRECT,1.6,"penguin,illness,husband,picture,dresser,no_response,no_response,no_response,no_response"
subj13,1,word2,OTH,illness,REG,SW,OTH,subj13_1,CORRECT,1.6,"penguin,illness,chapter,husband,zebra,dresser,no_response,no_response,no_response"
subj14,1,word2,OTH,illness,REG,SW,OTH,subj14_1,CORRECT,1.6,"penguin,illness,husband,picture,chapter,zebra,coffee,dresser,no_response"
subj15,1,word2,OTH,illness,REG,SW,OTH,subj15_1,CORRECT,1.6,"illness,husband,nickel,dresser,no_response,no_response,no_response,no_response,no_response"
subj17,1,word2,OTH,illness,REG,SW,OTH,subj17_1,CORRECT,1.6,"illness,husband,nickle,zebra,chapter,dresser,no_response,no_response,no_response"
subj19,1,word2,OTH,illness,REG,SW,OTH,subj19_1,CORRECT,1.6,"penguin,illness,zebra,coffee,nickle,dresser,husband,no_response,no_response"
subj2,1,word2,OTH,illness,REG,SW,OTH,subj2_1,CORRECT,1.6,"penguin,illness,husband,nickel,chapter,zebra,coffee,dresser,no_response"
subj23,1,word2,OTH,illness,REG,SW,OTH,subj23_1,CORRECT,1.6,"penguin,picture,illness,zebra,coffee,no_response,no_response,no_response,no_response"
subj24,1,word2,OTH,illness,REG,SW,OTH,subj24_1,CORRECT,1.6,"Picture,hasbeen,angling,illness,zebra,coffee,dresser,no_response,no_response"
subj25,1,word2,OTH,illness,REG,SW,OTH,subj25_1,CORRECT,1.6,"illness,husband,picture,zebra,dresser,no_response,no_response,no_response,no_response"
subj29,1,word2,OTH,illness,REG,SW,OTH,subj29_1,CORRECT,1.6,"illness,husband,chaptercoffee.,no_response,no_response,no_response,no_response,no_response,no_response"
subj31,1,word2,OTH,illness,REG,SW,OTH,subj31_1,CORRECT,1.6,"husband,illness,zebra,coffee,dresser,no_response,no_response,no_response,no_response"
subj39,1,word2,OTH,illness,REG,SW,OTH,subj39_1,CORRECT,1.6,"zebra,coffee,husband,illness,penguin,no_response,no_response,no_response,no_response"
subj42,1,word2,OTH,illness,REG,SW,OTH,subj42_1,CORRECT,1.6,"penguin,illness,husband,nickle,chapter,no_response,no_response,no_response,no_response"
subj43,1,word2,OTH,illness,REG,SW,OTH,subj43_1,CORRECT,1.6,"dresser,picnic,building,illness,husband,picture,nickel,coffee,no_response"
subj46,1,word2,OTH,illness,REG,SW,OTH,subj46_1,CORRECT,1.6,"penguin,illness,picture,coffee,dresser,nickel,chapter,zebra,husband"
subj47,1,word2,OTH,illness,REG,SW,OTH,subj47_1,CORRECT,1.6,"penguin,dresser,illness,no_response,no_response,no_response,no_response,no_response,no_response"
subj5,1,word2,OTH,illness,REG,SW,OTH,subj5_1,CORRECT,1.6,"illness,husband,coffee,dresser,no_response,no_response,no_response,no_response,no_response"
subj50,1,word2,OTH,illness,REG,SW,OTH,subj50_1,CORRECT,1.6,"nickel,coffee,zebra,dresser,album,penguin,illness,husband,picture"
subj51,1,word2,OTH,illness,REG,SW,OTH,subj51_1,CORRECT,1.6,"penguin,illness,picture,dresser,husband,zebra,coffee,no_response,no_response"
subj52,1,word2,OTH,illness,REG,SW,OTH,subj52_1,CORRECT,1.6,"penguin,illness,hunger,chapter,dresser,no_response,no_response,no_response,no_response"
subj56,1,word2,OTH,illness,REG,SW,OTH,subj56_1,CORRECT,1.6,"zebra,coffee,dresser,penquin,husband,illness,no_response,no_response,no_response"
subj6,1,word2,OTH,illness,REG,SW,OTH,subj6_1,CORRECT,1.6,"penguin,illness,husband,picture,nickel,chapter,zebra,dresser,no_response"
subj60,1,word2,OTH,illness,REG,SW,OTH,subj60_1,CORRECT,1.6,"penguin,illness,zebra,coffee,no_response,no_response,no_response,no_response,no_response"
subj9,1,word2,OTH,illness,REG,SW,OTH,subj9_1,CORRECT,1.6,"illness,husband,nickel,coffee,dresser,no_response,no_response,no_response,no_response"
subj1,1,word3,OTH,husband,REG,SW,OTH,subj1_1,CORRECT,2.19,"nickel,chapter,zebra,dresser,husband,no_response,no_response,no_response,no_response"
subj10,1,word3,OTH,husband,REG,SW,OTH,subj10_1,CORRECT,2.19,"zebra,coffee,illness,dresser,husband,no_response,no_response,no_response,no_response"
subj11,1,word3,OTH,husband,REG,SW,OTH,subj11_1,CORRECT,2.19,"zebra,husband,cooughing,dresser,no_response,no_response,no_response,no_response,no_response"
subj12,1,word3,OTH,husband,REG,SW,OTH,subj12_1,CORRECT,2.19,"penguin,illness,husband,picture,dresser,no_response,no_response,no_response,no_response"
subj13,1,word3,OTH,husband,REG,SW,OTH,subj13_1,CORRECT,2.19,"penguin,illness,chapter,husband,zebra,dresser,no_response,no_response,no_response"
subj14,1,word3,OTH,husband,REG,SW,OTH,subj14_1,CORRECT,2.19,"penguin,illness,husband,picture,chapter,zebra,coffee,dresser,no_response"
subj15,1,word3,OTH,husband,REG,SW,OTH,subj15_1,CORRECT,2.19,"illness,husband,nickel,dresser,no_response,no_response,no_response,no_response,no_response"
subj17,1,word3,OTH,husband,REG,SW,OTH,subj17_1,CORRECT,2.19,"illness,husband,nickle,zebra,chapter,dresser,no_response,no_response,no_response"
subj18,1,word3,OTH,husband,REG,SW,OTH,subj18_1,CORRECT,2.19,"husband,picture,nickel,coffee,zebra,dresser,no_response,no_response,no_response"
subj19,1,word3,OTH,husband,REG,SW,OTH,subj19_1,CORRECT,2.19,"penguin,illness,zebra,coffee,nickle,dresser,husband,no_response,no_response"
subj2,1,word3,OTH,husband,REG,SW,OTH,subj2_1,CORRECT,2.19,"penguin,illness,husband,nickel,chapter,zebra,coffee,dresser,no_response"
subj21,1,word3,OTH,husband,REG,SW,OTH,subj21_1,CORRECT,2.19,"zebra,coffee,dresser,husband,no_response,no_response,no_response,no_response,no_response"
subj25,1,word3,OTH,husband,REG,SW,OTH,subj25_1,CORRECT,2.19,"illness,husband,picture,zebra,dresser,no_response,no_response,no_response,no_response"
subj26,1,word3,OTH,husband,REG,SW,OTH,subj26_1,CORRECT,2.19,"penguin,husband,picture,nickle,zebra,coffee,dresser,no_response,no_response"
subj29,1,word3,OTH,husband,REG,SW,OTH,subj29_1,CORRECT,2.19,"illness,husband,chaptercoffee.,no_response,no_response,no_response,no_response,no_response,no_response"
subj3,1,word3,OTH,husband,REG,SW,OTH,subj3_1,CORRECT,2.19,"penguin,dresser,husband,pillow,zebra,no_response,no_response,no_response,no_response"
subj31,1,word3,OTH,husband,REG,SW,OTH,subj31_1,CORRECT,2.19,"husband,illness,zebra,coffee,dresser,no_response,no_response,no_response,no_response"
subj32,1,word3,OTH,husband,REG,SW,OTH,subj32_1,CORRECT,2.19,"zebra,coffee,dresser,husband,penguin,no_response,no_response,no_response,no_response"
subj34,1,word3,OTH,husband,REG,SW,OTH,subj34_1,CORRECT,2.19,"dresser,coffee,husband,penguin,no_response,no_response,no_response,no_response,no_response"
subj36,1,word3,OTH,husband,REG,SW,OTH,subj36_1,CORRECT,2.19,"picture,husband,nickel,zebra,dresser,no_response,no_response,no_response,no_response"
subj37,1,word3,OTH,husband,REG,SW,OTH,subj37_1,CORRECT,2.19,"coffee,zebra,nickel,husband,penguin,dresser,no_response,no_response,no_response"
subj39,1,word3,OTH,husband,REG,SW,OTH,subj39_1,CORRECT,2.19,"zebra,coffee,husband,illness,penguin,no_response,no_response,no_response,no_response"
subj4,1,word3,OTH,husband,REG,SW,OTH,subj4_1,CORRECT,2.19,"zebra,chapter,dresser,coffee,husband,no_response,no_response,no_response,no_response"
subj41,1,word3,OTH,husband,REG,SW,OTH,subj41_1,CORRECT,2.19,"coffee,dresser,zebra,husband,no_response,no_response,no_response,no_response,no_response"
subj42,1,word3,OTH,husband,REG,SW,OTH,subj42_1,CORRECT,2.19,"penguin,illness,husband,nickle,chapter,no_response,no_response,no_response,no_response"
subj43,1,word3,OTH,husband,REG,SW,OTH,subj43_1,CORRECT,2.19,"dresser,picnic,building,illness,husband,picture,nickel,coffee,no_response"
subj44,1,word3,OTH,husband,REG,SW,OTH,subj44_1,CORRECT,2.19,"penguin,dresser,husband,coffee,no_response,no_response,no_response,no_response,no_response"
subj45,1,word3,OTH,husband,REG,SW,OTH,subj45_1,CORRECT,2.19,"zebra,coffee,dresser,husband,no_response,no_response,no_response,no_response,no_response"
subj46,1,word3,OTH,husband,REG,SW,OTH,subj46_1,CORRECT,2.19,"penguin,illness,picture,coffee,dresser,nickel,chapter,zebra,husband"
subj5,1,word3,OTH,husband,REG,SW,OTH,subj5_1,CORRECT,2.19,"illness,husband,coffee,dresser,no_response,no_response,no_response,no_response,no_response"
subj50,1,word3,OTH,husband,REG,SW,OTH,subj50_1,CORRECT,2.19,"nickel,coffee,zebra,dresser,album,penguin,illness,husband,picture"
subj51,1,word3,OTH,husband,REG,SW,OTH,subj51_1,CORRECT,2.19,"penguin,illness,picture,dresser,husband,zebra,coffee,no_response,no_response"
subj53,1,word3,OTH,husband,REG,SW,OTH,subj53_1,CORRECT,2.19,"zebra,coffee,dresser,penguin,husband,no_response,no_response,no_response,no_response"
subj55,1,word3,OTH,husband,REG,SW,OTH,subj55_1,CORRECT,2.19,"coffee,dresser,husband,zebra,nickle,chapter,no_response,no_response,no_response"
subj56,1,word3,OTH,husband,REG,SW,OTH,subj56_1,CORRECT,2.19,"zebra,coffee,dresser,penquin,husband,illness,no_response,no_response,no_response"
subj6,1,word3,OTH,husband,REG,SW,OTH,subj6_1,CORRECT,2.19,"penguin,illness,husband,picture,nickel,chapter,zebra,dresser,no_response"
subj9,1,word3,OTH,husband,REG,SW,OTH,subj9_1,CORRECT,2.19,"illness,husband,nickel,coffee,dresser,no_response,no_response,no_response,no_response"
subj7,1,word3,OTH,husband,REG,SW,OTH,subj7_1,CORRECT,2.19,"zebra,husband,coffee,dresser,no_response,no_response,no_response,no_response,no_response"
subj12,1,word4,OTH,picture,REG,SW,OTH,subj12_1,CORRECT,2.24,"penguin,illness,husband,picture,dresser,no_response,no_response,no_response,no_response"
subj14,1,word4,OTH,picture,REG,SW,OTH,subj14_1,CORRECT,2.24,"penguin,illness,husband,picture,chapter,zebra,coffee,dresser,no_response"
subj18,1,word4,OTH,picture,REG,SW,OTH,subj18_1,CORRECT,2.24,"husband,picture,nickel,coffee,zebra,dresser,no_response,no_response,no_response"
subj23,1,word4,OTH,picture,REG,SW,OTH,subj23_1,CORRECT,2.24,"penguin,picture,illness,zebra,coffee,no_response,no_response,no_response,no_response"
subj25,1,word4,OTH,picture,REG,SW,OTH,subj25_1,CORRECT,2.24,"illness,husband,picture,zebra,dresser,no_response,no_response,no_response,no_response"
subj26,1,word4,OTH,picture,REG,SW,OTH,subj26_1,CORRECT,2.24,"penguin,husband,picture,nickle,zebra,coffee,dresser,no_response,no_response"
subj36,1,word4,OTH,picture,REG,SW,OTH,subj36_1,CORRECT,2.24,"picture,husband,nickel,zebra,dresser,no_response,no_response,no_response,no_response"
subj43,1,word4,OTH,picture,REG,SW,OTH,subj43_1,CORRECT,2.24,"dresser,picnic,building,illness,husband,picture,nickel,coffee,no_response"
subj46,1,word4,OTH,picture,REG,SW,OTH,subj46_1,CORRECT,2.24,"penguin,illness,picture,coffee,dresser,nickel,chapter,zebra,husband"
subj50,1,word4,OTH,picture,REG,SW,OTH,subj50_1,CORRECT,2.24,"nickel,coffee,zebra,dresser,album,penguin,illness,husband,picture"
subj51,1,word4,OTH,picture,REG,SW,OTH,subj51_1,CORRECT,2.24,"penguin,illness,picture,dresser,husband,zebra,coffee,no_response,no_response"
subj6,1,word4,OTH,picture,REG,SW,OTH,subj6_1,CORRECT,2.24,"penguin,illness,husband,picture,nickel,chapter,zebra,dresser,no_response"
subj8,1,word4,OTH,picture,REG,SW,OTH,subj8_1,CORRECT,2.24,"penguin,picture,coffee,dresser,zebra,no_response,no_response,no_response,no_response"
subj1,1,word5,TARG,nickel,REG,SW,TARG,subj1_1,CORRECT,0.3,"nickel,chapter,zebra,dresser,husband,no_response,no_response,no_response,no_response"
subj15,1,word5,TARG,nickel,REG,SW,TARG,subj15_1,CORRECT,0.3,"illness,husband,nickel,dresser,no_response,no_response,no_response,no_response,no_response"
subj18,1,word5,TARG,nickel,REG,SW,TARG,subj18_1,CORRECT,0.3,"husband,picture,nickel,coffee,zebra,dresser,no_response,no_response,no_response"
subj2,1,word5,TARG,nickel,REG,SW,TARG,subj2_1,CORRECT,0.3,"penguin,illness,husband,nickel,chapter,zebra,coffee,dresser,no_response"
subj28,1,word5,TARG,nickel,REG,SW,TARG,subj28_1,CORRECT,0.3,"nickel,coffee,zebra,dresser,no_response,no_response,no_response,no_response,no_response"
subj36,1,word5,TARG,nickel,REG,SW,TARG,subj36_1,CORRECT,0.3,"picture,husband,nickel,zebra,dresser,no_response,no_response,no_response,no_response"
subj37,1,word5,TARG,nickel,REG,SW,TARG,subj37_1,CORRECT,0.3,"coffee,zebra,nickel,husband,penguin,dresser,no_response,no_response,no_response"
subj43,1,word5,TARG,nickel,REG,SW,TARG,subj43_1,CORRECT,0.3,"dresser,picnic,building,illness,husband,picture,nickel,coffee,no_response"
subj46,1,word5,TARG,nickel,REG,SW,TARG,subj46_1,CORRECT,0.3,"penguin,illness,picture,coffee,dresser,nickel,chapter,zebra,husband"
