ANON_SUBJ,EXPERIMENT,TIME_LAG,FILE1,FILE2,STEP1,STEP2,STEP_PAIR,STEP_PAIR_COLL,USER_RESP,USER_CORR
SUBJECT129,DUR_PITCH,0.25,beetles_accented_130per,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,0.5,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,0.25,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,beetles_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,0.25,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,1.5,beetles_accented_70per,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,1.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,1.5,movies_accented_70per,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,1,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT129,DUR_PITCH,0.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT176,DUR_PITCH,0.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,SAME,WRONG
SUBJECT176,DUR_PITCH,1.5,movies_accented_70per,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,SAME,WRONG
SUBJECT176,DUR_PITCH,0.25,beetles_accented_130per,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT176,DUR_PITCH,1,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,SAME,WRONG
SUBJECT176,DUR_PITCH,1.5,beetles_accented_70per,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,SAME,WRONG
SUBJECT176,DUR_PITCH,0.5,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT176,DUR_PITCH,1.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT176,DUR_PITCH,0.25,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT176,DUR_PITCH,0.25,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,beetles_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,0.25,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,beetles_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,1.5,beetles_accented_70per,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,0.25,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,1.5,movies_accented_70per,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,0.25,beetles_accented_130per,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,0.5,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,1.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,1,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT48,DUR_PITCH,0.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,1.5,beetles_accented_70per,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,SAME,WRONG
SUBJECT156,DUR_PITCH,0.25,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,0.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,1,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,0.25,beetles_accented_70per_dur_morph_0_3_f0_morph_0_3,beetles_accented_70per,3,0,3_0,0_3_3_0,SAME,WRONG
SUBJECT156,DUR_PITCH,0.5,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,movies_accented_70per,3,0,3_0,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,1.5,movies_accented_70per,movies_accented_70per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,0.25,beetles_accented_130per,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,0,3,0_3,0_3_3_0,DIFF,CORR
SUBJECT156,DUR_PITCH,1.5,beetles_accented_130per_dur_morph_0_3_f0_morph_0_3,beetles_accented_130per,3,0,3_0,0_3_3_0,DIFF,CORR
